[18:50:17] CPU: 100.00% | RAM: 5453.824/6086.824 MB | DISK: 50000/100000 MB
[18:50:23] CPU: 100.00% | RAM: 5388.824/6086.824 MB | DISK: 50000/100000 MB
[18:50:28] CPU: 100.00% | RAM: 5497.824/6086.824 MB | DISK: 50000/100000 MB
[18:50:34] CPU: 78.57% | RAM: 5060.824/6086.824 MB | DISK: 50000/100000 MB
[18:50:39] CPU: 61.78% | RAM: 4896.824/6086.824 MB | DISK: 50000/100000 MB
[18:50:45] CPU: 65.87% | RAM: 4957.824/6086.824 MB | DISK: 50000/100000 MB
[18:50:50] CPU: 43.32% | RAM: 4968.824/6086.824 MB | DISK: 50000/100000 MB
[18:50:56] CPU: 35.41% | RAM: 4939.824/6086.824 MB | DISK: 50000/100000 MB
[18:51:01] CPU: 28.63% | RAM: 4938.824/6086.824 MB | DISK: 50000/100000 MB
[18:51:08] CPU: 26.88% | RAM: 4938.824/6086.824 MB | DISK: 50000/100000 MB
[18:51:13] CPU: 24.46% | RAM: 4940.824/6086.824 MB | DISK: 50000/100000 MB
[18:51:19] CPU: 29.86% | RAM: 4941.824/6086.824 MB | DISK: 50000/100000 MB
[18:51:24] CPU: 40.97% | RAM: 4946.824/6086.824 MB | DISK: 50000/100000 MB
[18:51:30] CPU: 29.45% | RAM: 4943.824/6086.824 MB | DISK: 50000/100000 MB
[18:51:35] CPU: 25.49% | RAM: 4950.824/6086.824 MB | DISK: 50000/100000 MB
[18:51:41] CPU: 28.23% | RAM: 4957.824/6086.824 MB | DISK: 50000/100000 MB
[18:51:46] CPU: 37.83% | RAM: 4833.824/6086.824 MB | DISK: 50000/100000 MB
[18:51:52] CPU: 35.00% | RAM: 4830.824/6086.824 MB | DISK: 50000/100000 MB
[18:51:57] CPU: 25.69% | RAM: 4817.824/6086.824 MB | DISK: 50000/100000 MB
[18:52:03] CPU: 24.84% | RAM: 4816.824/6086.824 MB | DISK: 50000/100000 MB
[18:52:09] CPU: 29.37% | RAM: 4825.824/6086.824 MB | DISK: 50000/100000 MB
[18:52:14] CPU: 24.81% | RAM: 4916.824/6086.824 MB | DISK: 50000/100000 MB
[18:52:20] CPU: 25.96% | RAM: 4935.824/6086.824 MB | DISK: 50000/100000 MB
[18:52:25] CPU: 38.06% | RAM: 4966.824/6086.824 MB | DISK: 50000/100000 MB
[18:52:30] CPU: 38.48% | RAM: 4996.824/6086.824 MB | DISK: 50000/100000 MB
[18:52:36] CPU: 25.82% | RAM: 4990.824/6086.824 MB | DISK: 50000/100000 MB
[18:52:41] CPU: 27.30% | RAM: 4998.824/6086.824 MB | DISK: 50000/100000 MB
[18:52:47] CPU: 33.60% | RAM: 5047.824/6086.824 MB | DISK: 50000/100000 MB
[18:52:53] CPU: 31.40% | RAM: 5045.824/6086.824 MB | DISK: 50000/100000 MB
[18:52:58] CPU: 33.57% | RAM: 5032.824/6086.824 MB | DISK: 50000/100000 MB
[18:53:04] CPU: 27.20% | RAM: 5051.824/6086.824 MB | DISK: 50000/100000 MB
[18:53:10] CPU: 25.84% | RAM: 5055.824/6086.824 MB | DISK: 50000/100000 MB
[18:53:16] CPU: 24.03% | RAM: 5056.824/6086.824 MB | DISK: 50000/100000 MB
[18:53:21] CPU: 29.96% | RAM: 5090.824/6086.824 MB | DISK: 50000/100000 MB
[18:53:27] CPU: 36.21% | RAM: 5104.824/6086.824 MB | DISK: 50000/100000 MB
[18:53:33] CPU: 38.13% | RAM: 5083.824/6086.824 MB | DISK: 50000/100000 MB
[18:53:38] CPU: 33.90% | RAM: 5077.824/6086.824 MB | DISK: 50000/100000 MB
[18:53:44] CPU: 26.00% | RAM: 5100.824/6086.824 MB | DISK: 50000/100000 MB
[18:53:49] CPU: 29.52% | RAM: 5106.824/6086.824 MB | DISK: 50000/100000 MB
[18:53:55] CPU: 28.40% | RAM: 5089.824/6086.824 MB | DISK: 50000/100000 MB
[18:54:00] CPU: 29.94% | RAM: 5072.824/6086.824 MB | DISK: 50000/100000 MB
[18:54:06] CPU: 25.38% | RAM: 5094.824/6086.824 MB | DISK: 50000/100000 MB
[18:54:11] CPU: 25.67% | RAM: 5097.824/6086.824 MB | DISK: 50000/100000 MB
[18:54:17] CPU: 24.03% | RAM: 5099.824/6086.824 MB | DISK: 50000/100000 MB
[18:54:22] CPU: 23.48% | RAM: 5093.824/6086.824 MB | DISK: 50000/100000 MB
[18:54:28] CPU: 24.75% | RAM: 5103.824/6086.824 MB | DISK: 50000/100000 MB
[18:54:33] CPU: 23.73% | RAM: 5106.824/6086.824 MB | DISK: 50000/100000 MB
[18:54:39] CPU: 36.17% | RAM: 5134.824/6086.824 MB | DISK: 50000/100000 MB
[18:54:44] CPU: 46.75% | RAM: 5140.824/6086.824 MB | DISK: 50000/100000 MB
[18:54:50] CPU: 49.02% | RAM: 5246.824/6086.824 MB | DISK: 50000/100000 MB
[18:54:55] CPU: 43.97% | RAM: 5227.824/6086.824 MB | DISK: 50000/100000 MB
[18:55:01] CPU: 38.65% | RAM: 5236.824/6086.824 MB | DISK: 50000/100000 MB
[18:55:06] CPU: 29.81% | RAM: 5236.824/6086.824 MB | DISK: 50000/100000 MB
[18:55:13] CPU: 26.25% | RAM: 4990.824/6086.824 MB | DISK: 50000/100000 MB
[18:55:19] CPU: 21.28% | RAM: 4991.824/6086.824 MB | DISK: 50000/100000 MB
[18:55:24] CPU: 20.09% | RAM: 4992.824/6086.824 MB | DISK: 50000/100000 MB
[18:55:30] CPU: 62.22% | RAM: 5026.824/6086.824 MB | DISK: 50000/100000 MB
[18:55:35] CPU: 87.52% | RAM: 5080.824/6086.824 MB | DISK: 50000/100000 MB
[18:55:41] CPU: 91.21% | RAM: 5152.824/6086.824 MB | DISK: 50000/100000 MB
[18:55:46] CPU: 74.78% | RAM: 5142.824/6086.824 MB | DISK: 50000/100000 MB
[18:55:52] CPU: 62.95% | RAM: 5184.824/6086.824 MB | DISK: 50000/100000 MB
[18:55:57] CPU: 57.92% | RAM: 5204.824/6086.824 MB | DISK: 50000/100000 MB
[18:56:03] CPU: 27.77% | RAM: 5202.824/6086.824 MB | DISK: 50000/100000 MB
[18:56:08] CPU: 25.99% | RAM: 5189.824/6086.824 MB | DISK: 50000/100000 MB
[18:56:14] CPU: 39.95% | RAM: 5241.824/6086.824 MB | DISK: 50000/100000 MB
[18:56:19] CPU: 29.10% | RAM: 5196.824/6086.824 MB | DISK: 50000/100000 MB
